patient_index,mean_pairwise_cosine,pair_cosines
0,0.44940391,"{""0-1"": 0.44940391182899475}"
1,0.09734540,"{""0-1"": 0.09734540432691574}"
2,-0.04624268,"{""0-1"": -0.04624268040060997}"
3,-0.00283409,"{""0-1"": -0.002834085375070572}"
4,0.37272805,"{""0-1"": 0.37272804975509644}"
5,0.50384742,"{""0-1"": 0.5038474202156067}"
6,0.79347312,"{""0-1"": 0.7934731245040894}"
7,0.01709379,"{""0-1"": 0.01709378883242607}"
8,0.08553288,"{""0-1"": 0.08553288131952286}"
9,0.09996752,"{""0-1"": 0.09996752440929413}"
10,0.00000000,{}
11,0.78444403,"{""0-1"": 0.7844440340995789}"
12,0.23590505,"{""0-1"": 0.23590505123138428}"
13,0.25166181,"{""0-1"": 0.2516618072986603}"
14,0.99999231,"{""0-1"": 0.999992311000824}"
15,0.15255673,"{""0-1"": 0.15255673229694366}"
16,-0.14040032,"{""0-1"": -0.14040032029151917}"
17,0.39694807,"{""0-1"": 0.39694806933403015}"
18,0.00000000,{}
19,0.23244487,"{""0-1"": 0.2324448674917221}"
20,0.28439847,"{""0-1"": 0.28439846634864807}"
21,0.09995326,"{""0-1"": 0.09995325654745102}"
22,0.34674406,"{""0-1"": 0.3467440605163574}"
23,0.00000000,{}
24,0.20114127,"{""0-1"": 0.20114126801490784}"
25,0.20653221,"{""0-1"": 0.20653221011161804}"
26,0.34921092,"{""0-1"": 0.3492109179496765}"
27,0.16220096,"{""0-1"": 0.1622009575366974}"
28,-0.16966756,"{""0-1"": -0.1696675568819046}"
29,0.52186221,"{""0-1"": 0.5218622088432312}"
30,0.18412669,"{""0-1"": 0.18412669003009796}"
31,0.30455491,"{""0-1"": 0.30455490946769714}"
32,0.28498632,"{""0-1"": 0.28498631715774536}"
33,0.90765023,"{""0-1"": 0.9076502323150635}"
34,0.20334485,"{""0-1"": 0.20334485173225403}"
35,0.20722084,"{""0-1"": 0.20722083747386932}"
36,0.01931368,"{""0-1"": 0.01931368000805378}"
37,0.17159502,"{""0-1"": 0.1715950220823288}"
38,0.03522687,"{""0-1"": 0.03522687405347824}"
39,0.20731506,"{""0-1"": 0.20731505751609802}"
40,-0.11926211,"{""0-1"": -0.11926211416721344}"
41,0.20125760,"{""0-1"": 0.2012576013803482}"
42,-0.02257158,"{""0-1"": -0.02257157862186432}"
43,0.13514923,"{""0-1"": 0.13514922559261322}"
44,0.25945431,"{""0-1"": 0.25945430994033813}"
45,0.36416113,"{""0-1"": 0.3641611337661743}"
46,-0.06051519,"{""0-1"": -0.06051518768072128}"
47,0.11619738,"{""0-1"": 0.1161973848938942}"
48,0.04988205,"{""0-1"": 0.04988204687833786}"
49,0.84439427,"{""0-1"": 0.8443942666053772}"
50,-0.03044359,"{""0-1"": -0.030443591997027397}"
51,0.99874252,"{""0-1"": 0.9987425208091736}"
52,0.99918807,"{""0-1"": 0.9991880655288696}"
53,0.14888120,"{""0-1"": 0.148881196975708}"
54,0.14220557,"{""0-1"": 0.14220556616783142}"
55,-0.10901661,"{""0-1"": -0.10901661217212677}"
56,0.11413847,"{""0-1"": 0.11413846909999847}"
57,0.36209968,"{""0-1"": 0.36209967732429504}"
58,0.15641716,"{""0-1"": 0.15641716122627258}"
